Tamanho do grafo: 500, Tamanho da população: 100, Qtde. anos: 500, Tentativa: 1, Melhor solução: 2283403
Tamanho do grafo: 500, Tamanho da população: 100, Qtde. anos: 500, Tentativa: 2, Melhor solução: 2246170
Tamanho do grafo: 500, Tamanho da população: 100, Qtde. anos: 500, Tentativa: 3, Melhor solução: 2298052
Tamanho do grafo: 500, Tamanho da população: 100, Qtde. anos: 1000, Tentativa: 1, Melhor solução: 2292943
Tamanho do grafo: 500, Tamanho da população: 100, Qtde. anos: 1000, Tentativa: 2, Melhor solução: 2225728
Tamanho do grafo: 500, Tamanho da população: 100, Qtde. anos: 1000, Tentativa: 3, Melhor solução: 2276320
Tamanho do grafo: 500, Tamanho da população: 500, Qtde. anos: 100, Tentativa: 1, Melhor solução: 2268801
Tamanho do grafo: 500, Tamanho da população: 500, Qtde. anos: 100, Tentativa: 2, Melhor solução: 2258372
Tamanho do grafo: 500, Tamanho da população: 500, Qtde. anos: 100, Tentativa: 3, Melhor solução: 2301400
Tamanho do grafo: 500, Tamanho da população: 500, Qtde. anos: 500, Tentativa: 1, Melhor solução: 2178173
Tamanho do grafo: 500, Tamanho da população: 500, Qtde. anos: 500, Tentativa: 2, Melhor solução: 2230823
Tamanho do grafo: 500, Tamanho da população: 500, Qtde. anos: 500, Tentativa: 3, Melhor solução: 2216804
Tamanho do grafo: 500, Tamanho da população: 500, Qtde. anos: 1000, Tentativa: 1, Melhor solução: 2221201
Tamanho do grafo: 500, Tamanho da população: 500, Qtde. anos: 1000, Tentativa: 2, Melhor solução: 2241941
Tamanho do grafo: 500, Tamanho da população: 500, Qtde. anos: 1000, Tentativa: 3, Melhor solução: 2205149
Tamanho do grafo: 500, Tamanho da população: 1000, Qtde. anos: 100, Tentativa: 1, Melhor solução: 2269765
Tamanho do grafo: 500, Tamanho da população: 1000, Qtde. anos: 100, Tentativa: 2, Melhor solução: 2251468
Tamanho do grafo: 500, Tamanho da população: 1000, Qtde. anos: 100, Tentativa: 3, Melhor solução: 2261764
Tamanho do grafo: 500, Tamanho da população: 1000, Qtde. anos: 500, Tentativa: 1, Melhor solução: 2197901
Tamanho do grafo: 500, Tamanho da população: 1000, Qtde. anos: 500, Tentativa: 2, Melhor solução: 2199508
Tamanho do grafo: 500, Tamanho da população: 1000, Qtde. anos: 500, Tentativa: 3, Melhor solução: 2261887
Tamanho do grafo: 500, Tamanho da população: 1000, Qtde. anos: 1000, Tentativa: 1, Melhor solução: 2257734
Tamanho do grafo: 500, Tamanho da população: 1000, Qtde. anos: 1000, Tentativa: 2, Melhor solução: 2255976
Tamanho do grafo: 500, Tamanho da população: 1000, Qtde. anos: 1000, Tentativa: 3, Melhor solução: 2233308
Tamanho do grafo: 750, Tamanho da população: 100, Qtde. anos: 100, Tentativa: 1, Melhor solução: 351073
Tamanho do grafo: 750, Tamanho da população: 100, Qtde. anos: 100, Tentativa: 2, Melhor solução: 344063
Tamanho do grafo: 750, Tamanho da população: 100, Qtde. anos: 100, Tentativa: 3, Melhor solução: 352885
Tamanho do grafo: 750, Tamanho da população: 100, Qtde. anos: 500, Tentativa: 1, Melhor solução: 350574
Tamanho do grafo: 750, Tamanho da população: 100, Qtde. anos: 500, Tentativa: 2, Melhor solução: 349455
Tamanho do grafo: 750, Tamanho da população: 100, Qtde. anos: 500, Tentativa: 3, Melhor solução: 348059
Tamanho do grafo: 750, Tamanho da população: 100, Qtde. anos: 1000, Tentativa: 1, Melhor solução: 346776
Tamanho do grafo: 750, Tamanho da população: 100, Qtde. anos: 1000, Tentativa: 2, Melhor solução: 352111
Tamanho do grafo: 750, Tamanho da população: 100, Qtde. anos: 1000, Tentativa: 3, Melhor solução: 348064
Tamanho do grafo: 750, Tamanho da população: 500, Qtde. anos: 100, Tentativa: 1, Melhor solução: 348435
Tamanho do grafo: 750, Tamanho da população: 500, Qtde. anos: 100, Tentativa: 2, Melhor solução: 349604
Tamanho do grafo: 750, Tamanho da população: 500, Qtde. anos: 100, Tentativa: 3, Melhor solução: 352253
Tamanho do grafo: 750, Tamanho da população: 500, Qtde. anos: 500, Tentativa: 1, Melhor solução: 347751
Tamanho do grafo: 750, Tamanho da população: 500, Qtde. anos: 500, Tentativa: 2, Melhor solução: 347419
Tamanho do grafo: 750, Tamanho da população: 500, Qtde. anos: 500, Tentativa: 3, Melhor solução: 348152
Tamanho do grafo: 750, Tamanho da população: 500, Qtde. anos: 1000, Tentativa: 1, Melhor solução: 348194
Tamanho do grafo: 750, Tamanho da população: 500, Qtde. anos: 1000, Tentativa: 2, Melhor solução: 341684
Tamanho do grafo: 750, Tamanho da população: 500, Qtde. anos: 1000, Tentativa: 3, Melhor solução: 345199
Tamanho do grafo: 750, Tamanho da população: 1000, Qtde. anos: 100, Tentativa: 1, Melhor solução: 350062
Tamanho do grafo: 750, Tamanho da população: 1000, Qtde. anos: 100, Tentativa: 2, Melhor solução: 349828
Tamanho do grafo: 750, Tamanho da população: 1000, Qtde. anos: 100, Tentativa: 3, Melhor solução: 341005
Tamanho do grafo: 750, Tamanho da população: 1000, Qtde. anos: 500, Tentativa: 1, Melhor solução: 347450
Tamanho do grafo: 750, Tamanho da população: 1000, Qtde. anos: 500, Tentativa: 2, Melhor solução: 339133
Tamanho do grafo: 750, Tamanho da população: 1000, Qtde. anos: 500, Tentativa: 3, Melhor solução: 338753
Tamanho do grafo: 750, Tamanho da população: 1000, Qtde. anos: 1000, Tentativa: 1, Melhor solução: 344319
Tamanho do grafo: 750, Tamanho da população: 1000, Qtde. anos: 1000, Tentativa: 2, Melhor solução: 346911
Tamanho do grafo: 750, Tamanho da população: 1000, Qtde. anos: 1000, Tentativa: 3, Melhor solução: 345027
